from,to,note
Buchwalder,Buckwalter,Intro note: historically variable surnames (do not auto-merge people)
David,Davis,Intro note: historically variable surnames (do not auto-merge people)
Davies,Davis,Intro note: historically variable surnames (do not auto-merge people)
John,Jones,Intro note: historically variable surnames (do not auto-merge people)
Pritchard,Pritchet,Intro note: historically variable surnames (do not auto-merge people)
Caufman,Coffman,Index cross-reference (surname search aid; not a person row)
Haldiman,Holderman,Index cross-reference (surname search aid; not a person row)
Hoffman,Koffman,Index cross-reference (surname search aid; not a person row)
Kauffman,Coffman,Index cross-reference (surname search aid; not a person row)
Koffman,Hoffman and Coffman,Index cross-reference (surname search aid; not a person row)
Lions,Lyons,Index cross-reference (surname search aid; not a person row)
Eleanor Martin,Eleanor Foose,Index cross-reference (surname search aid; not a person row)
McClintic / McClintuck,McClintock,Index cross-reference (surname search aid; not a person row)
McGathery,McGlathery,Index cross-reference (surname search aid; not a person row)
Mulligan,Milligan,Index cross-reference (surname search aid; not a person row)
Opperman,Upperman,Index cross-reference (surname search aid; not a person row)
Robeson,Robertson,Index cross-reference (surname search aid; not a person row)
Shaffner,Shoffner,Index cross-reference (surname search aid; not a person row)
Shoffner,Shaffner,Index cross-reference (surname search aid; not a person row)
Stirk,Sturk/Styrk,Index cross-reference (surname search aid; not a person row)
Stork,Sturk,Index cross-reference (surname search aid; not a person row)
Vesler,Wersler,Index cross-reference (surname search aid; not a person row)
Vesloth,Wersler,Index cross-reference (surname search aid; not a person row)
Wesler,Wersler,Index cross-reference (surname search aid; not a person row)
