firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
James,Abel,,,,James Abel,deed
Rebecca,Abel,,,,Rebecca Abel,deed
Anthony,Acker,,,,Anthony Acker,deed|neighbor
David,Acker,,,,David Acker,deed
Elizabeth,Acker,,,,Elizabeth Acker,deed
Jacob,Acker,,,,Jacob Acker,deed
John,Acker,,,,John Acker,deed
Magdalen,Acker,,,,Magdalen Acker,deed
Mary,Acker,,,,Mary Acker,deed
Peter,Acker,,,,Peter Acker,deed
Samuel,Acker,,,,Samuel Acker,deed
Susan,Acker,,,,Susan Acker,deed
Susanna,Acker,,,Susannah Acker,Susanna Acker|Susannah Acker,deed
Zach,Acker,,,,Zach Acker,deed
William John,Adam,,,,William John Adam,deed
Davis,Adams,,,,Davis Adams,deed
Elizabeth,Adams,,,,Elizabeth Adams,deed
Harriet,Adams,,,,Harriet Adams,deed
Horatio,Adams,,,,Horatio Adams,deed
J. Davis,Adams,,,,J. Davis Adams,deed
John,Adams,,,,John Adams,deed
Mary,Adams,,,,Mary Adams,deed
Rebecca,Adams,,,,Rebecca Adams,deed
Sallie,Adams,,,,Sallie Adams,deed
Charles,Adamson,,,,Charles Adamson,deed|neighbor
Mary,Adamson,,,,Mary Adamson,deed
Ezekiel,Alexander,,,Ezekial Alexander,Ezekial Alexander,deed
James,Alexander,,,,James Alexander,deed|neighbor
Robert,Alexander,,,,Robert Alexander,deed
John,Allebach,,,,John Allebach,deed
Louisa,Allebach,,,,Louisa Allebach,deed
Margaret,Allen,,,Margret Allen,Margret Allen,deed
William,Allen,,,,William Allen,deed
John,Allison,,,,John Allison,deed
John,Allobaugh,,,,John Allobaugh,neighbor
Jonathan,Alloway,,,,Jonathan Alloway,deed
Abraham,America,,,,Abraham America,deed
Martha,America,,,,Martha America,deed
Thomas,America,,,,Thomas America,deed
Abraham,Anders,,,,Abraham Anders,deed
Catherine,Anders,,,Catharine Anders,Catharine Anders,deed
George,Anders,,,,George Anders,deed
John,Anders,,,,John Anders,deed
Joseph,Anders,,,,Joseph Anders,deed
Samuel,Anders,,,,Samuel Anders,deed
A. Crawford,Anderson,,,,A. Crawford Anderson,deed
D. F.,Anderson,,,,D. F. Anderson,deed
David,Anderson,,,,David Anderson,deed
Eber,Anderson,,,,Eber Anderson,deed
Edward,Anderson,,,,Edward Anderson,deed
Everett,Anderson,,,,Everett Anderson,deed
Harriet,Anderson,,,Harriett Anderson,Harriett Anderson,deed
Isaac,Anderson,,,,Isaac Anderson,deed|neighbor
J. L.,Anderson,,,,J. L. Anderson,deed
Jacob,Anderson,,,,Jacob Anderson,deed
James,Anderson,,,,James Anderson,deed|neighbor
Jonathan,Anderson,,,,Jonathan Anderson,deed
Joseph,Anderson,,,,Joseph Anderson,neighbor
Joseph E.,Anderson,,,,Joseph E. Anderson,deed
Julius,Anderson,,,,Julius Anderson,deed
Maria,Anderson,,,,Maria Anderson,deed
Mary,Anderson,,,,Mary Anderson,deed
Patrick,Anderson,,,,Patrick Anderson,deed|neighbor
Rebecca,Anderson,,,,Rebecca Anderson,deed
Wesley,Anderson,,,,Wesley Anderson,deed
Thomas,Annat,,,,Thomas Annat,deed
Simon,Antry,,,,Simon Antry,deed
Samuel,Archer,,,,Samuel Archer,deed
John,Armit,,,,John Armit,deed|patent
James,Arnold,,,,James Arnold,deed
Ruth,Arnold,,,,Ruth Arnold,deed
Samuel,Arnold,,,,Samuel Arnold,deed
George,Ashbridge,,,,George Ashbridge,deed
Jane,Ashbridge,,,,Jane Ashbridge,deed
Valentine,Ashenfelter,,,,Valentine Ashenfelter,deed
Ezekiel,Auld,,,Ezekial Auld,Ezekial Auld,deed
Sarah,Auld,,,,Sarah Auld,deed
Catherine,Barber,,,Catharine Barber,Catharine Barber,deed
Samuel,Barber,,,,Samuel Barber,deed
Ann,Barde,,,,Ann Barde,deed
John,Barde,,,,John Barde,deed|neighbor
Ann,Barnes,,,,Ann Barnes,deed
John,Barnes,,,,John Barnes,deed
Joseph,Barnes,,,,Joseph Barnes,deed
John,Barren,,,,John Barren,deed
John,Barte,,,,John Barte,neighbor
Edward,Bartholomew,,,,Edward Bartholomew,deed
Isabel,Bartholomew,,,,Isabel Bartholomew,deed
John,Bartholomew,,,,John Bartholomew,deed
Joseph,Bartholomew,,,,Joseph Bartholomew,deed
Thomas,Bateman,,,,Thomas Bateman,deed
Lewis,Bath,,,,Lewis Bath,deed
Charles,Batt,,,,Charles Batt,deed
Eleanor,Batt,,,,Eleanor Batt,deed
John,Baum,,,,John Baum,deed
William,Bavis,,,,William Bavis,deed
Ann,Bean,,,,Ann Bean,deed
Annie,Bean,,,Annue Bean,Annie Bean|Annue Bean,deed
Benjamin F.,Bean,,,,Benjamin F. Bean,deed
George,Bean,,,,George Bean,deed
George W.,Bean,,,Geiorge W. Bean,Geiorge W. Bean,deed
Henry,Bean,,,,Henry Bean,deed
Kate,Bean,,,,Kate Bean,deed
Mary,Bean,,,,Mary Bean,deed
Mary Ann,Bean,,,,Mary Ann Bean,deed
Mary J.,Bean,,,,Mary J. Bean,deed
Mary Jane,Bean,,,,Mary Jane Bean,deed
Mary R.,Bean,,,,Mary R. Bean,deed
Nicholas,Bean,,,,Nicholas Bean,deed
Samuel,Bean,,,,Samuel Bean,deed
Sarah,Bean,,,,Sarah Bean,deed
Susanna,Bean,,,,Susanna Bean,deed
Daniel,Beaton,,,,Daniel Beaton,neighbor
John,Beaton,,,,John Beaton,deed
Matthew,Beaumont,,,,Matthew Beaumont,deed
Aaron,Beaver,,,,Aaron Beaver,deed
Daniel,Beaver,,,,Daniel Beaver,deed
Devault,Beaver,,,,Devault Beaver,deed
Elizabeth,Beaver,,,,Elizabeth Beaver,deed
Joseph,Beaver,,,,Joseph Beaver,deed
Margaret,Beaver,,,,Margaret Beaver,deed
Ruth,Beaver,,,,Ruth Beaver,deed
Samuel,Beaver,,,,Samuel Beaver,deed
Frances,Beidler,,,,Frances Beidler,deed
Elizabeth,Beitler,,,,Elizabeth Beitler,deed
Mary,Bell,,,,Mary Bell,deed
Rees,Bell,,,,Rees Bell,deed
Gearson,Bembo,,,,Gearson Bembo,neighbor
Ann,Benezet,,,,Ann Benezet,deed
James,Benezet,,,,James Benezet,deed
Frank,Benjamin,,,,Frank Benjamin,deed
Sarah,Benjamin,,,,Sarah Benjamin,deed
Adam,Benn,,,,Adam Benn,neighbor
Daniel,Bennizen,,,,Daniel Bennizen,deed
John,Benson,,,,John Benson,deed
Mary,Benson,,,,Mary Benson,deed
Ambrose,Bequer,,,,Ambrose Bequer,deed
Catherine,Bequer,,,Catharine Bequer,Catharine Bequer,deed
Daniel,Betton,,,,Daniel Betton,neighbor
Caroline,Bickley,,,,Caroline Bickley,deed
Mortimer,Bickley,,,,Mortimer Bickley,deed
Ann,Billew,,,,Ann Billew,deed
Daniel,Billew,,,,Daniel Billew,deed
Anthony,Binsfield,,,,Anthony Binsfield,deed
Mary,Blaire,,,,Mary Blaire,deed
Philip,Blaire,,,,Philip Blaire,deed
George,Bloomhart,,,,George Bloomhart,deed|neighbor
Isabel,Bodley,,,Isabella Bodley,Isabel Bodley|Isabella Bodley,deed
James,Bodley,,,,James Bodley,deed|neighbor
John,Bodley,,,,John Bodley,deed
Margaret,Bodley,,,,Margaret Bodley,deed
Sarah,Bodley,,,,Sarah Bodley,deed
Thomas,Bodley,,,,Thomas Bodley,deed|neighbor
William,Bodley,,,,William Bodley,deed
Williamina,Bond,,,,Williamina Bond,deed
George,Bones,,,,George Bones,deed
James,Bones,,,,James Bones,deed
Mary Ann,Bones,,,,Mary Ann Bones,deed
Rebecca,Bones,,,,Rebecca Bones,deed
William,Bones,,,,William Bones,deed
