identifier,photographer,serialNumber,title,comment,contributor,description,rights,source,subject,township,type,dateTaken,donationID,Synonyms,imageLocation,fileLocation,archiveLocation,primaryPhoto,publicDisplay,photoLocation,refs
BKH1,,1,Bake House / Iron Masters House,,Frances Ligget,"Bake House / Iron Masters House, postcard from Francis Ligget's notebooks",Owner Paoli library,Paoli library,House,Upper Merion,Postcard,,1,"Bake House, Washington Inn, Bakehouse, Iron Master, Dewees house",ValleyForge/BakeHouse/BKH1-BakeHousesmall.jpg,...VFNHP Views & BuildingsBake House,Liggett Notebooks CD,1,,Valley Forge,
FFF1,R. T. MacNeill,2,Far Fields Farm,,Frances Ligget,Notecard with pen and ink sketch of Far Fields farm.  Donated by Frances Ligget,Owned by Paoli Library,Paoli library,Farm,Tredyffrin,Note card,1954,1,,HousesandFarms/FarFieldsFarm/FFF1-FarFieldsFarm1954small.jpg,... local historyfarmingfar fields farm,Ligget Notebooks CD,2,,,
STI3,,3,Interior of Stirling&rsquo;s Quarters,From Frances Ligget,Frances Ligget,,Owned by Paoli Library,,House,Tredyffrin,Photo,1965,1,,"ValleyForge/StirlingsQuarters/STI3-Interior,Stirlingssmall.jpg",...VFNHP Views & BuildingsStirlings,Liggett Notebooks CD,3,,Valley Forge,"<a href=""http://tehistory.org/hqda/html/v01/v01n5p002.html"" target=""Q"">Itinerary of Officers' Quarters [at Valley Forge]</a>  by Franklin L. Burns, TEQ 1-5 (1938); <a href=""http://tehistory.org/hqda/html/v28/v28n1p003.html"" target=""Q"">Some Distinguished Neighbors</a>  by Club Members, TEQ 28-1 (July 1990); A Tour of the Generals' Quarters by Mike Bertram and Tim Lander, TEQ 49, #1/2 (July 2012); <a href=""http://www.tehistory.org/hqda/html/v10/v10n2p039.html"" target""Q""> History of Gen, Lord Stirling's Quarters, aka Echo Valley Farms, Valley Forge</a> by Frances H. Ligget, TEQ 10-2 (October 1958)"
WCU1,,4,Margaret Currie,,Frances & Robert C. Ligget,From Frances Ligget,Owned by Paoli Library,Paoli Library,person,,Photo,,1,,People/WilliamCurrie/WCU1-MargaretCurriesmall.jpg,...Local HistoryPeopleWilliam Currie,Ligget Notebooks CD,4,,,
WSH4,,5,Walker Schoolhouse,"See WSH23 for another, probably better, print",Frances Ligget,From Frances Ligget&rsquo;s notebooks,Owned by Paoli Library,Paoli Library,School,Tredyffrin,Photo,,1,,Schools/WalkerSchoolHouse/WSH4-WalkerSchoolhouse1small.jpg,...Local HistorySchoolsWalker Schoolhouse,Ligget Notebooks CD,5,,Chesterbrook,"<a href=""http://www.tehistory.org/hqda/html/v19/v19n3p069.html"" target=""Q"">The Walker School - Sixty years of Neighborly learning</a> by Molly A,  TenBroeck & Elizabeth K. Weaver, TEQ 19-3 (July 1981); <a href=""http://www.tehistory.org/hqda/html/v19/v19n4p136.html"" target=""Q"">Teachers at the Walker School</a>, Notes & Comments (Elizabeth K. Weaver), TEQ 19-4 (October 1981)"
WSH5,,6,Walker Schoolhouse,"Shown from left to right beginning in the back row: Mrs. B. Burgents, Alice Robb, Kenworthy Lord, Margaret Mahan, Mrs. Maguire, Helen Golder, Mrs. Colgan, Miss Esther Busch, Mrs. Whalen, LeRoy Burgents, Alex Colgan, Kathryn Toner, Wayne Kirkner, Percy Kirkner, Morgan Whalen, Atlee Kirkner, Mrs. Pfitzmyer, Alice Pfitzmyer, Thomas Toner, Francis Maguire, Thomas Maguire, James Maguire, Wayne Burgents, Majorie Burgents, Caroline Burgents, Marie Burgents (courtesy of Dorothy Burgents Kocher)",Frances Ligget,from Frances Ligget's notebooks,Owned by Paoli Library,Paoli Library,School,Tredyffrin,Photo,c. 1912,1,,Schools/WalkerSchoolHouse/WSH5-WalkerSchoolhouse2small.jpg,...Local HistorySchoolsWalker SchoolhouseWalker Schoolhouse2,Ligget Notebooks CD,6,,Chesterbrook,"<a href=""http://www.tehistory.org/hqda/html/v19/v19n3p069.html"" target=""Q"">The Walker School - Sixty years of Neighborly learning</a> by Molly A,  TenBroeck & Elizabeth K. Weaver, TEQ 19-3 (July 1981); <a href=""http://www.tehistory.org/hqda/html/v19/v19n4p136.html"" target=""Q"">Teachers at the Walker School</a>, Notes & Comments (Elizabeth K. Weaver), TEQ 19-4 (October 1981)"
MAX1,,7,Maxwell's Quarters - Back door,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX1-Backdoorsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,7,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX2,,8,Maxwell's Quarters - Back Room,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX2-Backroomsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,8,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX3,,9,Maxwell's Quarters - Dining Room,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX3-DiningRoomsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,9,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX4,,10,Maxwell's Quarters - View of Front,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX4-Frontsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,10,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX5,,11,Maxwell's Quarters - Library,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX5-Library2small.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,11,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX6,,12,Maxwell's Quarters - Library,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX6-Library.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,12,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX7,,13,Maxwell's Quarters - Reflecting Pool & Back View,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX7-ReflectingPoolandBackviewsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells1 CD,13,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX8,,14,Maxwell's Quarters - Senator Knox & Knox Covered Bridge,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX8-SenKnoxandCoveredBridgesmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells2 CD,14,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX9,,15,Maxwell's Quarters - Stairs,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX9-Stairssmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells2 CD,15,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX10,,16,Maxwell's Quarters - Swimming Pool looking north,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX10-SwimmingPoollookingnorthsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells2 CD,16,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAX11,,17,Maxwell's Quarters - Swimming Pool looking south,,Nancy Swayne,,Owned by VFNHP,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX11-SwimmingPoollookingsouthsmall.jpg,... VFNHP Views & BuildingsMaxwells Quarters,Maxwells2 CD,17,,Valley Forge,"The Forgotten Statesman: Philander Knox and the Politics of the Early 1900s by Mike Bertram, TEQ 47, #1 (March 2007)"
MAZ1,,19,Mazie Hall - 100 years old,,,,Owned by Eastern University,Eastern University,Person,,Photo,2002,1,,People/MazieHall/MAZ1-100yearsold2small.jpg,... peopleMazie Hall,Mazie Hall CD,20,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
MAZ2,,20,Mazie Hall - Amazing,,,,Owned by Eastern University,Eastern University,Person,,Painting,,1,,People/MazieHall/MAZ2-Amazing1small.jpg,... peopleMazie Hall,Mazie Hall CD,21,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
MAZ3,,21,Mazie Hall - College,,,,Owned by Eastern University,Eastern University,Person,,Photo,,1,,People/MazieHall/MAZ3-College2asmall.jpg,... peopleMazie Hall,Mazie Hall CD,22,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
MAZ4,,22,Mazie Hall - early days,,,,Owned by Eastern University,Eastern University,Person,,Photo,1924,1,,People/MazieHall/MAZ4-EarlydaysBandWsmall.jpg,... peopleMazie Hall,Mazie Hall CD,23,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
MAZ5,,23,Mazie Hall - later days,,,,Owned by Eastern University,Eastern University,Person,,Photo,,1,,People/MazieHall/MAZ5-Laterdayseditsmall.jpg,... peopleMazie Hall,Mazie Hall CD,24,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
MAZ6,,24,Mazie Hall - 1924 Year Book,,,,Owned by Eastern University,Eastern University,Person,,Photo,1924,1,,People/MazieHall/MAZ6-Yearbook3small.jpg,... peopleMazie Hall,Mazie Hall CD,25,,,"<a href=""http://www.tehistory.org/hqda/html/v43/v43n1p009.html"" target=""Q"">The Homecoming of Miss Mazie Hall</a> by Roger D. Thorne, TEQ 43-1 (Winter 2006)"
STI1,,25,Stirling's Quarters 1905,,,"VAFO 61989, negative 3164","Copyright R. L. P. Reifsneider, Norristown, PA (1905)",VFNHP Archives,House,Tredyffrin,Photo,1905,1,,ValleyForge/StirlingsQuarters/STI1-StirlingsQuarter2c1905small.jpg,... VFNHP Views & BuildingsStirlings Quarters,4 Generals Quarters CD,26,,Valley Forge,"<a href=""http://tehistory.org/hqda/html/v01/v01n5p002.html"" target=""Q"">Itinerary of Officers' Quarters [at Valley Forge]</a>  by Franklin L. Burns, TEQ 1-5 (1938); <a href=""http://tehistory.org/hqda/html/v28/v28n1p003.html"" target=""Q"">Some Distinguished Neighbors</a>  by Club Members, TEQ 28-1 (July 1990); A Tour of the Generals' Quarters by Mike Bertram and Tim Lander, TEQ 49, #1/2 (July 2012); <a href=""http://www.tehistory.org/hqda/html/v10/v10n2p039.html"" target""Q"">History of Gen, Lord Stirling's Quarters, aka Echo Valley Farms, Valley Forge</a> by Frances H. Ligget, TEQ 10-2 (October 1958)"
STI2,,26,Stirling's Quarters 1905,,,"VAFO 61989, negative 3164","Copyright R. L. P. Reifsneider, Norristown, PA (1905)",VFNHP Archives,House,Tredyffrin,Photo,1905,1,,ValleyForge/StirlingsQuarters/STI2-StirlingsQuarter3bc1905small.jpg,... VFNHP Views & BuildingsStirlings Quarters,4 Generals Quarters CD,27,,Valley Forge,"<a href=""http://www.tehistory.org/hqda/html/v10/v10n2p039.html"" target=""Q"">History of Gen, Lord Stirling's Quarters, aka Echo Valley Farms, Valley Forge</a> by Frances H. Ligget, TEQ 10-2 (October 1958); <a href=""http://tehistory.org/hqda/html/v01/v01n5p002.html"" target=""Q"">Itinerary of Officers' Quarters [at Valley Forge]</a>  by Franklin L. Burns, TEQ 1-5 (1938); <a href=""http://tehistory.org/hqda/html/v28/v28n1p003.html"" target=""Q"">Some Distinguished Neighbors</a>  by Club Members, TEQ 28-1 (July 1990); A Tour of the Generals' Quarters by Mike Bertram and Tim Lander, TEQ 49, #1/2 (July 2012);"
LAF1,,27,Lafayette's Quarters,,,VAFO 63444,,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/LafayettesQuarters/LAF1-LafayettesQuarters4small.jpg,... VFNHP Views & BuildingsLafayettes Quarters,4 Generals Quarters CD,28,,Valley Forge,"<a href=""http://tehistory.org/hqda/html/v01/v01n5p002.html"" target=""Q"">Itinerary of Officers' Quarters [at Valley Forge]</a>  by Franklin L. Burns, TEQ 1-5 (1938); <a href=""http://tehistory.org/hqda/html/v28/v28n1p003.html#MLEC"" target=""Q"">Some Distinguished Neighbors</a>  by Club Members, TEQ 28-1 (July 1990); <a href=""http://www.tehistory.org/hqda/pdf/v41/Volume41_N3_092.pdf"" target=""Q"">Three Pre-Revolutionary War Houses with a Family Connection</a> by Nancy Pusey, TEQ, 41, #3 (Summer 2004); A Tour of the Generals' Quarters by Mike Bertram and Tim Lander, TEQ 49, #1/2 (July 2012)."
MAX12,,28,Maxwell's Quarters,This picture was taken before Philander Knox's changes in the 1900s,,"VAFO 61917, negative 2976",,VFNHP Archives,House,Tredyffrin,Photo,,1,,ValleyForge/MaxwellsQuarters/MAX12-Maxwells-Quarters2-BandW.jpg,... VFNHP Views & BuildingsMaxwells Quarters,4 Generals Quarters CD,29,,Valley Forge,
KNO01,"Frank Taylor, Philadelphia",29,General Knox&rsquo;s Quarters - rear view,,,"VAFO 61991, negative 3244",,"VFNHP Archives

Also in <i>Valley Forge: A Chronicle of American Heroism</i> by Frank Taylor (1905).  Available online at <a href='https://babel.hathitrust.org/cgi/pt?id=hvd.hn2vzu&view=1up&seq=7'>Hathitrust.org</a>",House,Tredyffrin,Photo,c 1900,1,,ValleyForge/KnoxsQuarters/KNO01-RearViewc1900B&W2small.jpg,... VFNHP Views & BuildingsKnoxs Quarters,4 Generals Quarters CD,30,,Valley Forge,"<a href=""http://the2nomads.org/18CTredyffrin/Military/TheGeneralsQuarters.html"" target=""Q"">The Generals&rsquo; Quarters</a> by Mike Bertram in the 18 Century Tredyffrin section of the web site."
KNO02,Solomon Kurtz,30,General Knox's Quarters - front view 1945,"Same VFNHP identification serials #s as KNO1, probably a mistake",,"VAFO 61991, negative 3244",,VFNHP Archives,House,Tredyffrin,Photo,1945,1,,ValleyForge/KnoxsQuarters/KNO02-FrontViewc1945small.jpg,... VFNHP Views & BuildingsKnoxs Quarters,4 Generals Quarters CD,31,,Valley Forge,"; <a href=""http://the2nomads.org/18CTredyffrin/Military/TheGeneralsQuarters.html"" target=""Q"">The Generals' Quarters</a> by Mike Bertram in the 18 Century Tredyffrin section of the web site."
DUP01,,31,Duportail House,,,"Pennsylvania Gazette, 1937 July 1 (vol. 35, no. 18, p. 376) Image at http://hdl.library.upenn.edu/1017.6/20040813002-record ",Owned by University of Pennsylvania,University of Pennsylvania,House,Tredyffrin,Photo,1937,1,,HousesandFarms/DuportailsQuarters/DUP01-DuportailHousesmall.jpg,... Local HistoryChesterbrook,,32,,Chesterbrook,"<a href=""http://www.tehistory.org/hqda/html/v01/v01n5p002.html"" target=""Q"">Itinerary of Officers' Quarters [at Valley Forge]</a>  by Franklin L. Burns, TEQ 1-5 (1938); <a href=""http://www.tehistory.org/hqda/html/v28/v28n1p003.html#LDSE"" target=""Q"">Some Distinguished Neighbors</a>  by Club Members, TEQ 28-1 (July 1990); <a href=""http://www.tehistory.org/hqda/html/v25/v25n1p017.html"" target=""Q"">The Duportail House</a> by Grace Winthrop, TEQ 25-1 (January 1987)"
PEO46,F. Koss,32,Galusha Pennypacker,Was PER1,,"Lithograph by F. Koss for Thos. Sinclair & Son on title page of: General Pennypacker's March / by Pierre Latour.  Philadelphia: Lee & Walker, 1875.Image at http://www.library.upenn.edu/collections/rbm/keffer/scenes-pennypacker.html",Owned by University of Pennsylvania,University of Pennsylvania,Person,,Lithograph,1875,1,,People/PEO46-GalushaPennypacker.jpg,... Local HistoryMilitaryCivil War,,33,,,
